Series,Gender,Rating
蠟筆小新,男性,0.08291595197255575
蠟筆小新,女性,0.10288164665523157
延禧攻略,男性,0.13094155844155847
延禧攻略,女性,0.1773051948051948
後宮甄嬛傳,男性,0.08687272727272727
後宮甄嬛傳,女性,0.12138181818181819
墨雨雲間,男性,0.138375
墨雨雲間,女性,0.19041666666666668
那年花開月正圓,男性,0.05304147465437789
那年花開月正圓,女性,0.06359447004608296
琅琊榜,男性,0.08606635071090048
琅琊榜,女性,0.10582938388625591
神鵰俠侶,男性,0.06051136363636364
神鵰俠侶,女性,0.07261363636363637
月升滄海,男性,0.10229411764705883
月升滄海,女性,0.12852941176470586
