Time_Slot,Age_Group,Rating,Data_Points
凌晨,4歲以上,0.013743961352657005,1242
凌晨,15-44歲,0.010539452495974235,1242
凌晨,15-24歲,0.00963768115942029,1242
凌晨,25-34歲,0.01500805152979066,1242
凌晨,35-44歲,0.009460547504025765,1242
凌晨,45-54歲,0.013599033816425122,1242
凌晨,55歲以上,0.014935587761674718,1242
早晨,4歲以上,0.05253208868144691,2571
早晨,15-44歲,0.039708284714119024,2571
早晨,15-24歲,0.030789576040451187,2571
早晨,25-34歲,0.04408401400233372,2571
早晨,35-44歲,0.047491248541423565,2571
早晨,45-54歲,0.05397121742512641,2571
早晨,55歲以上,0.07367561260210036,2571
午間,4歲以上,0.11556596409055427,2562
午間,15-44歲,0.10363778298204528,2562
午間,15-24歲,0.09081967213114754,2562
午間,25-34歲,0.11803278688524589,2562
午間,35-44歲,0.10567135050741609,2562
午間,45-54歲,0.11541764246682279,2562
午間,55歲以上,0.14824355971896955,2562
黃金,4歲以上,0.16093164794007492,2136
黃金,15-44歲,0.15025749063670413,2136
黃金,15-24歲,0.14947097378277152,2136
黃金,25-34歲,0.16772940074906367,2136
黃金,35-44歲,0.1371816479400749,2136
黃金,45-54歲,0.18068820224719104,2136
黃金,55歲以上,0.19230805243445695,2136
深夜,4歲以上,0.04491489361702129,470
深夜,15-44歲,0.043914893617021285,470
深夜,15-24歲,0.040914893617021275,470
深夜,25-34歲,0.059638297872340436,470
深夜,35-44歲,0.03374468085106382,470
深夜,45-54歲,0.052000000000000005,470
深夜,55歲以上,0.053617021276595754,470
